USER_NAME,OBJECT_NAME,OBJECT_PATH,QUERY_NAME,DATASOURCE,DB_USER,TABLE_NAME,TABLE_SHORT_NAME,SCHEMA_NAME
DoLong,DDH Awarded,/Financial Services/Billing/DDH Awarded,Query3,AUSLIVE,hyperion,AR_CLUB_GROUP,AR_CLUB_GROUP,
KCalmy,DDH Awarded,/Financial Services/Billing/DDH Awarded,Query2,AUSLIVE,hyperion,AR_CLUB_GROUP,AR_CLUB_GROUP,
KCalmy,DDH Awarded,/Financial Services/Billing/DDH Awarded,Query3,AUSLIVE,hyperion,AR_CLUB_GROUP,AR_CLUB_GROUP,
MarArdizzone,SegCount Test,/Yield Management/Inventory Ops/SegCount Test,Query,AUSLIVE,hyperion,ATLAS.ATL_SEGMENT_CHANGE_TYPE,ATL_SEGMENT_CHANGE_TYPE,ATLAS
SGarcia,PXP Transactions Today,/IT Implementation/Output Reports/PXP Transactions Today,Failed Swipe Yesterday,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD,CCII_AUTH_RECORD,CCI
SGarcia,PXP Transactions v6.1,/IT Implementation/Output Reports/PXP Transactions v6.1,Detail Charts 10,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD,CCII_AUTH_RECORD,CCI
SGarcia,PXP Transactions v6.1,/IT Implementation/Output Reports/PXP Transactions v6.1,Failed Swipe Yesterday,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD,CCII_AUTH_RECORD,CCI
SGarcia,PXP Transactions v6.1,/IT Implementation/Output Reports/PXP Transactions v6.1,Failed Swipe week,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD,CCII_AUTH_RECORD,CCI
DSchetter,Credit Card Trans Report,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER,CCIML_MERCHANT_NUMBER,CCI
DSchetter,Credit Card Trans Report v3,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report v3,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER,CCIML_MERCHANT_NUMBER,CCI
KCalmy,CardX Trans Report,/IT QA/IT-Billing/Automated Jobs/CardX Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER,CCIML_MERCHANT_NUMBER,CCI
KCalmy,Credit Card Trans Report,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER,CCIML_MERCHANT_NUMBER,CCI
KCalmy,Credit Card Trans Report v3,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report v3,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER,CCIML_MERCHANT_NUMBER,CCI
KCalmy,DRIAUSLIVE.oce,/Administrator/OCE files/DRIAUSLIVE.oce,Query,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER,CCIML_MERCHANT_NUMBER,CCI
KCalmy,DRIAUSLIVE.oce,/Administrator/OCE files/DRIAUSLIVE.oce,Query2,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER,CCIML_MERCHANT_NUMBER,CCI
DSchetter,Credit Card Trans Report,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
DSchetter,Credit Card Trans Report v3,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report v3,Query4,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
EBantug,__MONTHLY BILLING PMT REPORT,/Financial Services/Payment Processing/__MONTHLY BILLING PMT REPORT,Query7,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,CardX Trans Report,/IT QA/IT-Billing/Automated Jobs/CardX Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,Credit Card Trans Report,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,Credit Card Trans Report v3,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report v3,Query4,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,DRIAUSLIVE.oce,/Administrator/OCE files/DRIAUSLIVE.oce,Query,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,Pending Payments.bqy,/IT QA/IT-Billing/Pending Payments.bqy,Query4,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,When Payment Jobs Fail,/IT QA/IT-Billing/When Payment Jobs Fail,Query5,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,__AUTO DEBIT PMT REPORT,/IT QA/IT-Billing/Automated Jobs/__AUTO DEBIT PMT REPORT,Query2,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
KCalmy,__AUTO DEBIT PMT REPORT,/IT QA/IT-Billing/Automated Jobs/__AUTO DEBIT PMT REPORT,Query4,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
MLeyeza,Same Day Void – Possible Duplicate Payments - 091814,/Financial Services/Payment Processing/Jobs Payment Processing/Same Day Void – Possible Duplicate Payments - 091814,CC query,DRIATLASREPORT,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
MerDouglas,ACH and CC Failed Surepay Payments,/Financial Services/Collections/NLS ReWrite Review/ACH and CC Failed Surepay Payments,[Q1]Failed CC Surepay,AUSLIVE,hyperion,CCI.CCIT_AUTH_TRANS,CCIT_AUTH_TRANS,CCI
