USER_NAME,OBJECT_NAME,OBJECT_PATH,QUERY_NAME,DATASOURCE,DB_USER,TABLE_NAME
RFregeau,QA TM Audit,/NMC/National Marketing Center/Rob/QA TM Audit/QA TM Audit,Staff qry,drimkt,hyperion_svc,#ALL
RFregeau,QA TM Audit,/NMC/National Marketing Center/Rob/QA TM Audit/QA TM Audit,Staff qry,drimkt,hyperion_svc,#ENDDATES
RFregeau,QA TM Audit,/NMC/National Marketing Center/Rob/QA TM Audit/QA TM Audit,Staff qry,drimkt,hyperion_svc,#STARTDATES
DoLong,DDH Awarded,/Financial Services/Billing/DDH Awarded,Query3,AUSLIVE,hyperion,AR_CLUB_GROUP
KCalmy,DDH Awarded,/Financial Services/Billing/DDH Awarded,Query2,AUSLIVE,hyperion,AR_CLUB_GROUP
KCalmy,DDH Awarded,/Financial Services/Billing/DDH Awarded,Query3,AUSLIVE,hyperion,AR_CLUB_GROUP
MarArdizzone,SegCount Test,/Yield Management/Inventory Ops/SegCount Test,Query,AUSLIVE,hyperion,ATLAS.ATL_SEGMENT_CHANGE_TYPE
SGarcia,PXP Transactions Today,/IT Implementation/Output Reports/PXP Transactions Today,Failed Swipe Yesterday,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD
SGarcia,PXP Transactions v6.1,/IT Implementation/Output Reports/PXP Transactions v6.1,Detail Charts 10,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD
SGarcia,PXP Transactions v6.1,/IT Implementation/Output Reports/PXP Transactions v6.1,Failed Swipe Yesterday,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD
SGarcia,PXP Transactions v6.1,/IT Implementation/Output Reports/PXP Transactions v6.1,Failed Swipe week,DRIATLASREPORT,hyperion,CCI.CCII_AUTH_RECORD
DSchetter,Credit Card Trans Report,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER
DSchetter,Credit Card Trans Report v3,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report v3,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER
KCalmy,CardX Trans Report,/IT QA/IT-Billing/Automated Jobs/CardX Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER
KCalmy,Credit Card Trans Report,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER
KCalmy,Credit Card Trans Report v3,/IT QA/IT-Billing/Automated Jobs/Credit Card Trans Report v3,Query4,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER
KCalmy,DRIAUSLIVE.oce,/Administrator/OCE files/DRIAUSLIVE.oce,Query,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER
KCalmy,DRIAUSLIVE.oce,/Administrator/OCE files/DRIAUSLIVE.oce,Query2,AUSLIVE,hyperion,CCI.CCIML_MERCHANT_NUMBER
